assessment_id,name,url,remote_testing,adaptive_irt,duration_minutes,test_type_codes,is_knowledge,is_skill,is_personality,is_behavioral,is_coach,is_ability,is_evaluation,is_development,skills,category,job_levels,languages,description,text_for_embedding
global-skills-development-report,Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,1,0,,A E B C D P,0,0,0,0,0,0,0,0,nan,nan,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",nan,If you choose to continue with your current browser we cannot guarantee your experience.,"Global Skills Development Report | If you choose to continue with your current browser we cannot guarantee your experience. | nan | nan | Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor, | nan"
net-framework-4-5,.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,1,1,30.0,K,1,0,0,0,0,0,0,0,nan,nan,"Professional Individual Contributor, Mid-Professional,","English (USA),",If you choose to continue with your current browser we cannot guarantee your experience.,".NET Framework 4.5 | If you choose to continue with your current browser we cannot guarantee your experience. | nan | nan | Professional Individual Contributor, Mid-Professional, | English (USA),"
net-mvc-new,.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,1,0,17.0,K,1,0,0,0,0,0,0,0,nan,nan,"Mid-Professional, Professional Individual Contributor,","English (USA),",If you choose to continue with your current browser we cannot guarantee your experience.,".NET MVC (New) | If you choose to continue with your current browser we cannot guarantee your experience. | nan | nan | Mid-Professional, Professional Individual Contributor, | English (USA),"
net-mvvm-new,.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,1,0,5.0,K,1,0,0,0,0,0,0,0,nan,nan,"Mid-Professional, Professional Individual Contributor,","English (USA),",If you choose to continue with your current browser we cannot guarantee your experience.,".NET MVVM (New) | If you choose to continue with your current browser we cannot guarantee your experience. | nan | nan | Mid-Professional, Professional Individual Contributor, | English (USA),"
net-wcf-new,.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,1,0,11.0,K,1,0,0,0,0,0,0,0,nan,nan,"Mid-Professional, Professional Individual Contributor,","English (USA),",If you choose to continue with your current browser we cannot guarantee your experience.,".NET WCF (New) | If you choose to continue with your current browser we cannot guarantee your experience. | nan | nan | Mid-Professional, Professional Individual Contributor, | English (USA),"
net-wpf-new,.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,1,0,9.0,K,1,0,0,0,0,0,0,0,nan,nan,"Mid-Professional, Professional Individual Contributor,","English (USA),",If you choose to continue with your current browser we cannot guarantee your experience.,".NET WPF (New) | If you choose to continue with your current browser we cannot guarantee your experience. | nan | nan | Mid-Professional, Professional Individual Contributor, | English (USA),"
net-xaml-new,.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,1,0,5.0,K,1,0,0,0,0,0,0,0,nan,nan,"Mid-Professional, Professional Individual Contributor,","English (USA),",If you choose to continue with your current browser we cannot guarantee your experience.,".NET XAML (New) | If you choose to continue with your current browser we cannot guarantee your experience. | nan | nan | Mid-Professional, Professional Individual Contributor, | English (USA),"
accounts-payable-new,Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,1,0,9.0,K,1,0,0,0,0,0,0,0,nan,nan,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",If you choose to continue with your current browser we cannot guarantee your experience.,"Accounts Payable (New) | If you choose to continue with your current browser we cannot guarantee your experience. | nan | nan | Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, | English (USA),"
accounts-payable-simulation-new,Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,1,0,8.0,S,0,1,0,0,0,0,0,0,nan,nan,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",If you choose to continue with your current browser we cannot guarantee your experience.,"Accounts Payable Simulation (New) | If you choose to continue with your current browser we cannot guarantee your experience. | nan | nan | Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, | English (USA),"
accounts-receivable-new,Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,1,0,13.0,K,1,0,0,0,0,0,0,0,nan,nan,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",If you choose to continue with your current browser we cannot guarantee your experience.,"Accounts Receivable (New) | If you choose to continue with your current browser we cannot guarantee your experience. | nan | nan | Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, | English (USA),"
