assessment_id,name,url,remote_testing,adaptive_irt,test_type_codes,description,duration_minutes,job_levels,languages,skills,category
global-skills-development-report,Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,yes,no,A E B C D P,If you choose to continue with your current browser we cannot guarantee your experience.,,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",,,
net-framework-4-5,.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,yes,yes,K,If you choose to continue with your current browser we cannot guarantee your experience.,30.0,"Professional Individual Contributor, Mid-Professional,","English (USA),",,
net-mvc-new,.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,17.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
net-mvvm-new,.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,5.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
net-wcf-new,.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,11.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
net-wpf-new,.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,9.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
net-xaml-new,.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,5.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
accounts-payable-new,Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,9.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
accounts-payable-simulation-new,Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,8.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
accounts-receivable-new,Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,13.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
accounts-receivable-simulation-new,Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,8.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
ado-net-new,ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,10.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
adobe-experience-manager-new,Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,17.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
adobe-photoshop-cc,Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,yes,yes,K,If you choose to continue with your current browser we cannot guarantee your experience.,20.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
aeronautical-engineering-new,Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,10.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
aerospace-engineering-new,Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,10.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
agile-software-development,Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,7.0,"Graduate,","English (USA),",,
agile-testing-new,Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,13.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
ai-skills,AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,yes,no,P,If you choose to continue with your current browser we cannot guarantee your experience.,16.0,"General Population,","English (USA),",,
amazon-web-services-aws-development-new,Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,6.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
android-development-new,Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,7.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
angular-6-new,Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,11.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
angularjs-new,AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,9.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
apache-hadoop-new,Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,7.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
apache-hadoop-extensions-new,Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,9.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
apache-hbase-new,Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,5.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
apache-hive-new,Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,5.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
apache-kafka-new,Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,6.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
apache-pig-new,Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,6.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
apache-spark-new,Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,8.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
asp-net-with-c-new,ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,13.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
